reuters_id,id
1,6401
2,6475
3,6485
4,6434
5,6501
13,6441
7,6445
8,6448
9,6449
6,6451
10,6452
11,6460
12,6464
15,6545
16,6546
17,6552
18,9612
19,6562
20,6563
21,6565
22,6566
23,6568
24,6569
25,6574
27,6586
28,6591
32,6603
29,6612
30,9720
31,6631
33,6637
34,6638
36,6650
35,6650
504,6657
37,6658
39,6663
511,6668
521,10256
512,10256
40,10256
41,6669
42,6678
43,6691
44,6697
45,6695
46,6696
50,6705
49,6704
51,6704
48,9696
52,6706
53,6711
54,6710
56,6710
55,6709
57,6719
58,6716
59,6720
60,6719
61,6722
520,6723
62,6724
63,6728
38,9687
64,9686
65,6738
516,6739
47,6750
66,6748
67,6768
68,6769
69,6773
70,6824
71,6784
72,6792
73,6797
74,6802
75,6812
76,6822
77,9676
505,9676
97,6830
78,6923
79,6837
80,6844
81,6920
98,6854
82,6866
83,6876
84,6878
99,6882
85,6883
86,6846
87,6893
88,6894
89,6896
90,6898
91,9777
100,6909
94,6910
95,6907
96,6916
101,6936
102,6951
103,9826
104,6956
514,6957
106,6973
107,6988
108,6996
109,6998
110,7106
111,9651
518,7064
112,7111
113,7113
114,7115
115,7118
116,7120
117,7122
118,7134
119,7138
120,7139
121,7144
122,7163
123,7173
124,9745
125,7193
126,7196
127,7203
128,7219
129,7227
130,7242
131,7244
132,7248
133,7256
134,7266
135,7280
137,7291
136,7292
139,7337
138,7337
141,7325
142,7344
143,7366
144,7389
145,7396
146,7402
147,7410
148,7411
149,7415
150,7423
151,7431
154,7438
155,7451
153,7471
515,7471
152,9840
156,7486
157,7508
158,7510
159,7513
160,7519
161,7526
506,7536
162,7543
163,7547
164,7551
165,7607
166,7555
517,7556
167,7560
168,7563
169,7565
172,7608
170,7570
171,7602
173,7624
174,7696
176,7641
177,7642
178,7701
179,7706
180,7654
181,7710
182,7715
183,7722
185,7724
186,7725
187,7726
188,7727
190,7729
191,7731
192,7734
193,7736
196,7738
194,9770
195,9770
197,7744
198,7746
200,7752
201,7755
202,7761
203,7764
204,7767
205,9635
206,7774
207,7779
208,7781
209,7783
210,6394
211,6394
212,7784
213,7796
214,7808
215,7817
220,7828
216,7836
217,7847
218,7851
221,7860
222,9639
219,7868
223,7869
224,7870
225,7877
226,7891
227,7892
228,7899
229,7899
231,7929
232,7928
233,7937
234,7935
503,7967
236,7970
237,7972
244,10172
240,7989
243,7994
235,8011
242,8015
245,8050
246,8061
247,8072
248,8081
249,8084
250,8122
252,8126
251,8125
253,8155
254,8156
257,8165
258,8168
259,8171
260,8172
255,8175
261,8178
262,8182
263,8189
264,8198
265,8206
266,8214
267,8216
268,8219
269,8227
270,8238
271,8240
272,8253
273,8254
274,8255
275,8285
279,8265
280,8282
281,8283
282,8266
276,8268
277,8273
283,8274
284,9871
278,8280
285,8286
286,8287
287,8288
288,8289
289,8290
290,8291
291,8292
292,8293
293,8294
294,8295
297,8300
298,9667
299,8307
301,8310
302,8311
303,8314
304,8318
305,8320
306,8322
307,8324
308,8326
309,8327
310,8331
311,8333
313,8339
312,8340
314,8349
316,8378
317,8380
318,8423
320,8414
321,8414
323,8421
325,9801
326,8435
327,8452
328,8458
329,8461
330,8463
331,8468
522,8468
332,8492
523,8489
335,8496
333,8504
334,8524
336,10200
337,8538
339,8540
340,8546
338,8551
343,8552
344,8555
345,8556
346,8565
347,8572
349,8578
350,8588
351,8602
352,8603
354,8626
355,8627
356,8669
357,8671
358,8674
360,8679
508,8695
361,8706
362,8710
363,10205
364,8718
359,8749
365,8729
366,8754
367,8761
368,8763
369,8766
370,8772
371,8773
372,8775
373,8776
374,8781
375,8778
376,8787
377,8792
378,8796
379,8801
380,8806
381,8813
382,8866
383,8823
384,8825
385,8830
386,8838
387,8858
388,8857
389,8868
390,8870
391,8874
392,8875
398,8891
394,8899
395,8909
396,8911
397,8917
401,8927
402,8934
403,8936
404,8938
405,8939
406,8940
407,8941
399,8944
408,8945
411,9044
409,8977
410,8992
412,9019
413,9020
414,9027
415,9030
416,9031
417,9038
513,9042
418,9068
419,9599
420,9094
421,9108
422,10089
423,9107
424,9115
425,9126
426,9125
427,9131
428,9135
429,9144
430,9899
431,9161
432,9175
433,9178
434,9198
435,9201
436,9216
438,9262
439,9263
440,9271
441,9314
442,9316
443,9319
444,9320
445,9326
446,9329
447,9336
448,9337
449,9339
450,9340
510,9378
459,9395
460,9405
509,9376
463,9419
464,9422
465,9469
524,9467
466,9437
467,9446
468,9475
469,9452
470,9455
471,9460
482,9498
483,9506
484,9509
485,9525
486,9532
487,9535
488,9905
490,9547
491,9549
492,9566
493,9571
494,9708
496,9574
497,9576
498,9580
499,9582
500,9585
501,9586
502,9588
